client-1              | time="2023-05-22 00:56:28" level=info msg="action: query_request | result: success | msg: Query 1: 1127.0707"
client-1              | time="2023-05-22 00:56:32" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Boyer / du Mont-Royal#11366#24313#"
client-1              | time="2023-05-22 00:56:32" level=info msg="action: query_request | result: success | msg: Query 2: montreal#St-Denis / de Maisonneuve#4236#8884#"
client-1              | time="2023-05-22 00:56:32" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Marché Atwater#11132#29159#"
client-1              | time="2023-05-22 00:56:32" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Jardin Botanique (Pie-IX / Sherbrooke)#2915#8293#"
client-1              | time="2023-05-22 00:56:32" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Beatty / de Verdun#0#3925#"
client-1              | time="2023-05-22 00:56:32" level=info msg="action: query_request | result: success | msg: Query 2: montreal#de l'Église / de Verdun#0#2883#"
client-1              | time="2023-05-22 00:56:32" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Berri / Jean-Talon#0#8966#"
client-1              | time="2023-05-22 00:56:32" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Milton / University#0#29473#"
client-1              | time="2023-05-22 00:56:32" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Mackay / de Maisonneuve#0#56380#"
client-1              | time="2023-05-22 00:56:32" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Prince-Arthur / Ste-Famille#0#8531#"
client-1              | time="2023-05-22 00:56:32" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Beaudry / Ontario#0#10771#"
client-1              | time="2023-05-22 00:56:32" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Beaudry / Sherbrooke#0#7819#"
client-1              | time="2023-05-22 00:56:32" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Métro Georges-Vanier (St-Antoine / Canning)#0#6071#"
client-1              | time="2023-05-22 00:56:32" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Métro Villa-Maria (Décarie / de Monkland)#0#6574#"
client-1              | time="2023-05-22 00:56:32" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Aylmer / Prince-Arthur#0#6911#"
client-1              | time="2023-05-22 00:56:32" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Henri-Julien / Villeray#0#5484#"
client-1              | time="2023-05-22 00:56:32" level=info msg="action: query_request | result: success | msg: Query 2: montreal#de la Commune / King#0#26113#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Drolet / Laurier#0#14209#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#St-Dominique / Maguire#0#13530#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Messier / Hochelaga#0#2875#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Métro Peel (de Maisonneuve / Stanley)#0#37570#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Métro Lucien-L'Allier (Lucien l'Allier / Argyle)#0#7810#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Shearer / Centre#0#5214#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Viger / Jeanne Mance#0#5148#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Métro Place-des-Arts (de Maisonneuve / de Bleury)#0#40525#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Parthenais / Mont-Royal#0#15639#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Omer-Lavallée / du Midway#0#9802#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#de Bordeaux / Marie-Anne#0#5748#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Ottawa / William#0#4311#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Place de la paix (Pl. du marché / St-Dominique)#0#12438#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Rachel / de Brébeuf#0#20402#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Gary Carter / St-Laurent#0#12408#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Henri-Julien / du Mont-Royal#0#15334#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Joliette / Ste-Catherine#0#2497#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#de Champlain / Ontario#0#12672#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#St-André / Ste-Catherine#0#18199#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#St-André / Robin#0#7686#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#de Bordeaux /Gilford#0#8780#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Ste-Catherine / Labelle#0#12881#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#de Brébeuf / St-Grégoire#0#10905#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Briand / le Caron#0#5028#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Girouard / de Terrebonne#0#3144#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#St-Charles / Sauvé#0#1199#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Édouard-Montpetit (Université de Montréal)#0#5558#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Parc Jeanne Mance (monument à sir George-Étienne Cartier)#0#27659#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Métro Langelier (Sherbrooke / Langelier)#0#909#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Godin / Bannantyne#0#1883#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Waverly / Fairmount#0#10846#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Laurier / de Bordeaux#0#11657#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#St-Urbain / de la Gauchetière#0#9246#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Desjardins / de Rouen#0#4518#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Gilford / de Brébeuf#0#12158#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Métro Bonaventure (de la Gauchetière / Mansfield)#0#17235#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Laporte / St-Antoine#0#3209#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Clark / Laurier#0#17620#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#de Brébeuf / Laurier#0#13492#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Benny Crescent / Benny#0#2784#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#St-Mathieu / Sherbrooke#0#8504#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#du Mont-Royal / Augustin-Frigon#0#4858#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Maguire / Henri-Julien#0#9621#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Congres#0#2233#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#City Councillors / du President-Kennedy#0#7893#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Métro Côte-des-Neiges (Lacombe / de la Côte-des-Neiges)#0#6439#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Jeanne d'Arc / Ontario#0#7419#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Louis-Hébert / Belllechasse#0#4808#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#de Bordeaux / Masson#0#6379#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Lincoln / Lambert Closse#0#4509#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Charlevoix / Lionel-Groulx#0#5277#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Cote St-Paul / St-Ambroise#0#6390#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Hôpital général juif (de la Côte Ste-Catherine / Légaré)#0#2810#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Métro Verdun (Willibrord / de Verdun)#0#7762#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Henri-Julien / Jarry#0#4598#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Durocher / Bernard#0#5114#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Clark / Evans#0#7490#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#McEachran / Van Horne#0#5290#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#de Clifton / Sherbrooke#0#2779#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Vallières / St-Laurent#0#14931#"
